Cổng giao tiếp,Kết nối không dây,Webcam,Đèn bàn phím,Bảo mật,Công nghệ âm thanh,Tản nhiệt,Tính năng khác,Khe đọc thẻ nhớ,Công nghệ Thunderbolt
"['2 x USB Type-A', 'HDMI', '1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)', '1 x Headphone/microphone combo']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,Công tắc khoá camera,Loa kép (2 kênh),Hãng không công bố,,,False
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,"['Công tắc khoá camera', 'Bảo mật vân tay']",SonicMaster audio,Hãng không công bố,"['Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ']",,False
"['USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)', '2 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo']","['Bluetooth 5.2', 'Wi-Fi 6 (802.11ax)']",HD webcam,Không có đèn,"['TPM 2.0', 'Công tắc khoá camera']",Dolby Audio,Hãng không công bố,Độ bền chuẩn quân đội MIL STD 810H,SD,False
"['Jack tai nghe 3.5 mm', 'MagSafe 3', '2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['3 microphones', '4 Loa', 'Dolby Atmos']",Hãng không công bố,,,True
"['1 x USB 2.0', '2 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo']","['Bluetooth 5.2', 'Wi-Fi 802.11 a/b/g/n/ac']",HD webcam,Có,,Realtek Audio,,,SD,False
"['Jack tai nghe 3.5 mm', '3 x USB 3.2', 'HDMI', '1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5']",Full HD Webcam,Không có đèn,Công tắc khoá camera,Stereo speakers,Hãng không công bố,Bản lề mở 180 độ,Micro SD,False
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI']","['Bluetooth 5.2', 'Wi-Fi 802.11 a/b/g/n/ac']",HD webcam,Không có đèn,,Realtek Audio,,,SD,False
"['2 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', 'USB Type-C']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,Công tắc khoá camera,Realtek High Definition Audio,Hãng không công bố,Độ bền chuẩn quân đội MIL STD 810H,,False
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,"['Công tắc khoá camera', 'Bảo mật vân tay']",SonicMaster audio,Hãng không công bố,"['Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ']",,False
"['USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)', '2 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo']","['Bluetooth 5.2', 'Wi-Fi 6 (802.11ax)']",HD webcam,Không có đèn,"['TPM 2.0', 'Công tắc khoá camera']",Dolby Audio,Hãng không công bố,Độ bền chuẩn quân đội MIL STD 810H,SD,False
"['Jack tai nghe 3.5 mm', '3 x USB 3.2', 'HDMI', '1 x USB Type-C USB 4 (hỗ trợ DisplayPort)', 'LAN (RJ45)']","['Wi-Fi 802.11 a/b/g/n/ac', 'Bluetooth 5']",HD webcam,Đơn sắc - Màu trắng,,"['Spatial Audio', 'Acer Purified Voice', 'Acer TrueHarmony', 'DTS:X ULTRA']",Hãng không công bố,,,True
"['1x Mic-in', '1x Headphone-out', '3 x USB 3.2', 'HDMI', '1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)', 'LAN (RJ45)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",HD webcam,Đơn sắc - Màu xanh,,2 x 2W Speaker,Cooler Boost,,,False
"['Jack tai nghe 3.5 mm', 'MagSafe 3', '2 x Thunderbolt 3']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['Spatial Audio', '3 microphones', '4 Loa', 'Dolby Atmos']",Hãng không công bố,Sạc MagSafe,,True
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,,Realtek Audio,,,SD,False
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', '1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)', 'LAN (RJ45)']","['Bluetooth 5.2', 'Wi-Fi 6 (802.11ax)']",HD webcam,Đơn sắc - Màu trắng,"['TPM 2.0', 'Công tắc khoá camera']",Nahimic Audio,Hãng không công bố,,Khe thẻ 3-in-1,False
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'USB Type-C']","['Bluetooth 5.2', 'Wi-Fi 6 (802.11ax)']",HD webcam,Không có đèn,"['Công tắc khoá camera', 'Bảo mật vân tay']",SonicMaster audio,Hãng không công bố,"['Lớp phủ ASUS Antimicrobial Guard', 'Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ']",,False
"['2 x USB Type-A', 'HDMI', '1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)', '1 x Headphone/microphone combo']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,Công tắc khoá camera,Loa kép (2 kênh),Hãng không công bố,,,False
"['Jack tai nghe 3.5 mm', '3 x USB 3.2', 'HDMI', '1 x USB Type-C (hỗ trợ DisplayPort)']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5']",Full HD Webcam,Không có đèn,Công tắc khoá camera,Stereo speakers,Hãng không công bố,,Micro SD,False
"['3 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', 'LAN (RJ45)', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",HD webcam,Đơn sắc - Màu trắng,Công tắc khoá camera,Hi-Res Audio,Hãng không công bố,Bản lề mở 180 độ,Micro SD,False
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', '1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)']","['Bluetooth 5.2', 'Wi-Fi 6 (802.11ax)']",HD webcam,Không có đèn,"['TPM 2.0', 'Công tắc khoá camera', 'Bảo mật vân tay']",Dolby Audio,Hãng không công bố,"['Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ']",SD,False
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', '1 x USB Type-C (chỉ hỗ trợ Power Delivery)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",HD webcam,Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Bảo mật vân tay']",SonicMaster audio,Hãng không công bố,"['Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ']",,False
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",HD webcam,Đơn sắc - Màu trắng,,Realtek Audio,Hãng không công bố,,SD,False
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,Công tắc khoá camera,Realtek High Definition Audio,Hãng không công bố,,,False
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5']",HD webcam,Không có đèn,,Acer Purified Voice,Hãng không công bố,,,False
